Activity Type,Date,Favorite,Title,Distance,Calories,Total Time,Avg HR,Max HR,Aerobic TE,Avg Bike Cadence,Max Bike Cadence,Avg Speed,Max Speed,Total Ascent,Total Descent,Avg Stride Length,Avg GAP,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Total Strokes,Avg. Swolf,Avg Stroke Rate,Steps,Decompression,Best Lap Time,Number of Laps,Total Runs,Longest Run,Max Speed,Active Time,Total Run Distance,Avg Run Speed,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Cardio,2025-05-01 16:10:50,false,"Bristol Cardio","0.05","339","00:38:00","121","152","1.9","--","--","0.1","4.6","--","--","--","--","--","0.0","--","--","--","--","--","476","No","00:38:00","1","--","--","--","--","--","--","00:00:18","00:38:00","81","88"
Treadmill Running,2025-05-01 15:48:15,false,"Treadmill Running","2.78","270","00:15:01","178","190","3.2","137","198","5:24","3:03","--","--","1.35","--","488","0.0","410","715","--","--","--","2,054","No","00:06:15.9","2","--","--","--","--","--","--","00:10:25","00:15:01","--","--"
Running,2025-04-29 12:12:05,false,"Bristol Running","4.01","346","00:19:53","172","186","3.5","161","171","4:57","4:25","21","21","1.25","5:00","484","0.0","470","626","--","--","--","3,222","No","00:04:08.7","3","--","--","--","--","--","--","00:19:37","00:19:53","77","90"
Cardio,2025-04-28 20:36:55,false,"Bristol Cardio","2.14","524","00:43:51","144","186","3.0","--","--","2.9","18.7","17","8","--","--","--","0.0","--","--","--","--","--","2,610","No","00:43:51","1","--","--","--","--","--","--","00:17:34","00:43:51","77","88"
Cardio,2025-04-28 07:40:55,false,"Cardio","0.00","424","01:02:12","109","164","0.9","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","994","No","01:02:12","1","--","--","--","--","--","--","00:00:00","01:02:12","89","99"
Cardio,2025-04-27 10:38:53,false,"Bristol Cardio","1.44","382","01:09:06","99","163","0.6","--","--","1.2","16.5","12","22","--","--","--","0.0","--","--","--","--","--","316","No","01:09:06","1","--","--","--","--","--","--","00:09:14","01:09:06","10","25"
Cardio,2025-04-25 10:16:27,false,"Cardio","0.00","375","00:53:57","109","151","0.8","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","958","No","00:53:57","1","--","--","--","--","--","--","00:00:00","00:53:57","94","100"
Running,2025-04-24 11:52:43,false,"Bristol Running","5.01","443","00:30:07","145","159","3.0","159","165","6:01","5:12","26","28","1.04","5:58","398","0.0","393","557","--","--","--","4,790","No","00:01:06.3","4","--","--","--","--","--","--","00:30:05","00:30:07","78","94"
Running,2025-04-22 11:42:49,false,"Bristol Running","5.01","448","00:27:20","164","184","3.5","165","170","5:27","4:38","28","28","1.11","5:27","439","0.0","433","634","--","--","--","4,486","No","00:01:02.1","4","--","--","--","--","--","--","00:27:19","00:27:20","74","91"
Cardio,2025-04-14 19:09:18,false,"Bristol Cardio","3.03","552","00:42:58","150","182","3.0","--","--","4.2","21.6","5","4","--","--","--","0.0","--","--","--","--","--","3,572","No","00:42:58","1","--","--","--","--","--","--","00:23:37","00:42:58","74","78"
Cardio,2025-04-14 16:47:53,false,"Cardio","0.00","426","01:01:13","110","144","0.9","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","980","No","01:01:13","1","--","--","--","--","--","--","00:00:00","01:01:13","95","101"
Running,2025-04-13 16:59:03,false,"Bristol Running","5.01","418","00:24:31","168","186","3.6","164","171","4:53","4:16","38","37","1.25","4:54","497","0.0","486","723","--","--","--","4,020","No","00:00:50.8","4","--","--","--","--","--","--","00:24:29","00:24:31","76","94"
Cardio,2025-04-13 12:40:52,false,"Cardio","0.00","448","01:21:39","100","150","1.0","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","810","No","01:21:39","1","--","--","--","--","--","--","00:00:00","01:21:39","95","101"
Cardio,2025-04-11 18:23:56,false,"Bristol Cardio","1.75","516","01:23:38","109","165","0.7","--","--","1.3","70.5","69","54","--","--","--","0.0","--","--","--","--","--","--","No","01:23:38","1","--","--","--","--","--","--","00:11:08","01:23:38","-7","14"
Cardio,2025-04-10 20:03:09,false,"Bristol Cardio","1.49","348","01:03:35","106","157","0.7","--","--","1.4","35.9","303","288","--","--","--","0.0","--","--","--","--","--","--","No","01:03:35","1","--","--","--","--","--","--","00:04:41","01:03:35","-103","10"
Treadmill Running,2025-04-10 18:38:19,false,"Treadmill Running","3.27","347","00:20:01","177","200","3.4","129","190","6:07","3:20","--","--","1.27","--","449","0.0","371","650","--","--","--","2,650","No","00:00:24.0","3","--","--","--","--","--","--","00:13:43","00:20:01","--","--"
Cardio,2025-04-09 07:47:18,false,"Cardio","0.00","363","00:55:44","109","192","1.1","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","948","No","00:55:44","1","--","--","--","--","--","--","00:00:00","00:55:44","91","100"
Running,2025-04-08 17:53:13,false,"Bristol Running","5.01","452","00:33:31","142","156","2.6","156","159","6:41","5:26","32","38","0.96","6:43","361","0.0","353","486","--","--","--","5,206","No","00:01:17.5","4","--","--","--","--","--","--","00:33:29","00:33:31","73","93"
Cardio,2025-04-08 07:20:56,false,"Cardio","0.00","434","01:02:26","110","154","0.8","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","924","No","01:02:26","1","--","--","--","--","--","--","00:00:00","01:02:26","89","97"
Cardio,2025-04-07 18:33:55,false,"Cardio","0.00","471","01:02:01","113","166","1.4","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","600","No","01:02:01","1","--","--","--","--","--","--","00:00:00","01:02:01","93","103"
Running,2025-04-06 11:54:46,false,"Taunton Deane Running","16.17","1,490","01:49:26","144","173","3.6","153","165","6:46","4:59","99","94","0.97","6:46","368","0.0","360","579","--","--","--","16,742","No","00:00:24.5","11","--","--","--","--","--","--","01:48:32","01:49:26","16","40"
Cardio,2025-04-05 13:25:13,false,"Taunton Deane Cardio","0.33","723","02:10:19","101","167","0.6","--","--","0.2","10.4","2","3","--","--","--","0.0","--","--","--","--","--","2,136","No","02:10:19","1","--","--","--","--","--","--","00:01:38","02:10:19","25","34"
Cardio,2025-04-04 19:00:39,false,"Bristol Cardio","1.88","478","01:17:07","107","147","1.0","--","--","1.5","66.9","13","11","--","--","--","0.0","--","--","--","--","--","794","No","01:17:07","1","--","--","--","--","--","--","00:13:54","01:17:07","2","11"
Running,2025-04-04 12:36:39,false,"Bristol Running","5.02","420","00:23:05","179","196","3.9","165","172","4:36","4:05","44","49","1.32","4:38","541","0.0","531","715","--","--","--","3,784","No","00:00:48.2","4","--","--","--","--","--","--","00:23:02","00:23:05","70","88"
Cardio,2025-04-03 18:44:14,false,"Cardio","0.00","388","00:53:19","112","160","0.9","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","738","No","00:53:19","1","--","--","--","--","--","--","00:00:00","00:53:19","95","102"
Running,2025-04-02 18:17:43,false,"Bristol Running","5.01","441","00:28:49","150","165","3.1","159","164","5:45","4:53","54","48","1.09","5:48","425","0.0","417","645","--","--","--","4,576","No","00:01:09.3","4","--","--","--","--","--","--","00:28:48","00:28:49","68","86"
Cardio,2025-04-02 07:18:58,false,"Bristol Cardio","0.00","444","01:01:45","115","172","1.5","--","--","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","972","No","01:01:45","1","--","--","--","--","--","--","00:00:00","01:01:45","82","90"
Cardio,2025-04-01 18:29:54,false,"Cardio","0.00","424","00:59:25","108","163","2.0","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","948","No","00:59:25","1","--","--","--","--","--","--","00:00:00","00:59:25","89","97"
Cardio,2025-04-01 07:47:58,false,"Cardio","0.00","334","00:47:50","113","159","1.1","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","788","No","00:47:50","1","--","--","--","--","--","--","00:00:00","00:47:50","90","100"
Cardio,2025-03-31 18:33:08,false,"Cardio","0.00","278","00:53:10","98","154","0.7","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","1,230","No","00:53:10","1","--","--","--","--","--","--","00:00:00","00:53:10","99","108"
Running,2025-03-29 10:11:09,false,"Bristol Running","23.57","2,171","02:16:47","173","186","5.0","154","204","5:48","4:15","248","251","1.11","5:45","413","0.0","398","683","--","--","--","21,266","No","00:05:43.1","15","--","--","--","--","--","--","02:14:06","02:16:47","6","105"
Cardio,2025-03-28 18:02:49,false,"Bristol Cardio","5.67","614","01:56:55","100","151","0.7","--","--","2.9","62.7","9","26","--","--","--","0.0","--","--","--","--","--","988","No","01:56:55","1","--","--","--","--","--","--","00:31:30","01:56:55","-0","22"
Cardio,2025-03-26 18:05:52,false,"Bristol Cardio","0.50","276","01:10:17","93","137","0.4","--","--","0.4","137.2","473","468","--","--","--","0.0","--","--","--","--","--","--","No","01:10:17","1","--","--","--","--","--","--","00:02:11","01:10:17","-132","16"
Cardio,2025-03-26 06:55:45,false,"Bristol Cardio","0.01","466","01:03:08","115","158","1.7","--","--","0.0","13.1","--","--","--","--","--","0.0","--","--","--","--","--","1,126","No","01:03:08","1","--","--","--","--","--","--","00:00:10","01:03:08","83","92"
Running,2025-03-25 11:42:00,false,"Bristol Running","5.01","439","00:31:16","144","157","3.0","160","165","6:15","4:49","38","36","1.00","6:11","379","0.0","372","518","--","--","--","5,002","No","00:01:14.4","4","--","--","--","--","--","--","00:31:10","00:31:16","71","88"
Cardio,2025-03-24 18:20:38,false,"Cardio","0.00","294","00:33:32","120","159","1.8","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","470","No","00:33:32","1","--","--","--","--","--","--","00:00:00","00:33:32","100","105"
Treadmill Running,2025-03-24 18:04:28,false,"Treadmill Running","2.62","224","00:14:51","160","185","2.6","132","240","5:40","3:20","--","--","1.33","--","460","0.0","391","668","--","--","--","2,012","No","00:05:40.2","2","--","--","--","--","--","--","00:10:31","00:14:51","--","--"
Cardio,2025-03-23 12:16:20,false,"Cardio","0.00","812","02:22:45","108","171","1.3","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","1,588","No","02:22:45","1","--","--","--","--","--","--","00:00:00","02:22:45","90","103"
Running,2025-03-22 17:46:52,false,"Bristol Running","5.02","403","00:22:56","180","197","4.0","161","176","4:34","4:06","31","36","1.36","4:37","509","0.0","503","652","--","--","--","3,696","No","00:00:46.9","4","--","--","--","--","--","--","00:22:55","00:22:56","73","90"
Cardio,2025-03-21 18:49:49,false,"Bristol Cardio","0.25","245","00:53:03","93","146","0.3","--","--","0.3","23.1","2","1","--","--","--","0.0","--","--","--","--","--","324","No","00:53:03","1","--","--","--","--","--","--","00:00:50","00:53:03","16","24"
Cardio,2025-03-21 06:55:34,false,"Bristol Cardio","0.00","394","00:54:56","115","155","1.2","--","--","0.0","5.3","--","--","--","--","--","0.0","--","--","--","--","--","794","No","00:54:56","1","--","--","--","--","--","--","00:00:05","00:54:56","82","87"
Running,2025-03-20 08:24:01,false,"Bristol Running","2.33","163","00:10:33","155","187","2.5","166","174","4:32","4:08","15","17","1.33","4:35","513","0.0","506","629","--","--","--","1,754","No","00:03:17.5","2","--","--","--","--","--","--","00:10:33","00:10:33","67","81"
Cardio,2025-03-19 17:25:38,false,"Bristol Cardio","0.08","505","01:07:09","117","153","1.8","--","--","0.1","25.7","--","--","--","--","--","0.0","--","--","--","--","--","1,858","No","01:07:09","1","--","--","--","--","--","--","00:00:12","01:07:11","84","89"
Cardio,2025-03-19 06:42:54,false,"Bristol Cardio","0.02","394","00:56:42","111","169","1.1","--","--","0.0","5.1","--","--","--","--","--","0.0","--","--","--","--","--","650","No","00:56:42","1","--","--","--","--","--","--","00:00:07","00:56:42","85","93"
Cardio,2025-03-18 17:55:01,false,"Cardio","0.00","365","00:54:17","111","164","0.9","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","1,036","No","00:54:17","1","--","--","--","--","--","--","00:00:00","00:54:17","89","98"
Cardio,2025-03-18 07:37:34,false,"Cardio","0.00","213","00:38:11","101","142","0.3","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","244","No","00:38:11","1","--","--","--","--","--","--","00:00:00","00:38:11","19","94"
Treadmill Running,2025-03-18 07:09:48,false,"Treadmill Running","3.97","383","00:24:59","164","182","3.3","128","240","6:18","3:25","--","--","1.24","--","420","0.0","351","625","--","--","--","3,276","No","00:04:50.1","3","--","--","--","--","--","--","00:17:07","00:24:59","--","--"
Cardio,2025-03-17 18:08:22,false,"Bristol Cardio","0.47","305","01:09:01","98","155","0.6","--","--","0.4","50.3","386","376","--","--","--","0.0","--","--","--","--","--","--","No","01:09:01","1","--","--","--","--","--","--","00:01:55","01:09:01","-128","18"
Cardio,2025-03-17 15:36:00,false,"Cardio","0.00","334","00:53:26","108","143","0.7","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","862","No","00:53:26","1","--","--","--","--","--","--","00:00:00","00:53:26","97","104"
Running,2025-03-16 10:57:03,false,"Bristol Running","21.28","1,869","02:14:00","158","175","4.6","160","169","6:18","4:53","218","206","1.00","6:22","372","0.0","366","535","--","--","--","21,368","No","00:02:38.6","14","--","--","--","--","--","--","02:13:27","02:16:42","14","98"
Cardio,2025-03-14 20:06:51,false,"Cardio","0.00","331","01:02:11","100","148","0.5","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","752","No","01:02:11","1","--","--","--","--","--","--","00:00:00","01:02:11","-13","-6"
Running,2025-03-13 07:30:50,false,"Bristol Running","5.01","360","00:23:42","159","189","3.5","161","169","4:44","4:13","36","39","1.31","4:50","505","0.0","494","649","--","--","--","3,830","No","00:00:45.6","4","--","--","--","--","--","--","00:23:21","00:23:42","70","91"
Cardio,2025-03-12 20:28:28,false,"Cardio","0.00","368","00:51:34","114","156","1.1","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","1,000","No","00:51:34","1","--","--","--","--","--","--","00:00:00","00:51:34","98","104"
Cardio,2025-03-11 17:23:14,false,"Cardio","0.00","486","01:13:21","114","166","1.6","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","1,004","No","01:13:21","1","--","--","--","--","--","--","00:00:00","01:13:21","98","105"
Cardio,2025-03-11 06:49:55,false,"Cardio","0.00","458","01:05:48","113","149","1.2","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","978","No","01:05:48","1","--","--","--","--","--","--","00:00:00","01:05:48","84","93"
Cardio,2025-03-10 17:30:48,false,"Cardio","0.00","441","01:00:19","115","152","1.8","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","692","No","01:00:19","1","--","--","--","--","--","--","00:00:00","01:00:19","57","66"
Treadmill Running,2025-03-10 07:18:25,false,"Treadmill Running","4.23","412","00:25:15","173","190","3.6","134","210","5:58","3:46","--","--","1.25","--","439","0.0","378","611","--","--","--","3,430","No","00:06:06.7","3","--","--","--","--","--","--","00:18:16","00:25:15","--","--"
Running,2025-03-09 08:14:30,false,"Bristol Running","7.09","619","00:44:41","146","165","3.2","156","167","6:18","4:59","41","74","1.02","6:24","370","0.0","366","523","--","--","--","6,978","No","00:03:54.3","5","--","--","--","--","--","--","00:44:39","00:54:14","37","92"
Cardio,2025-03-08 13:51:14,false,"Cardio","0.00","593","01:42:56","108","164","1.1","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","1,292","No","01:42:56","1","--","--","--","--","--","--","00:00:00","01:43:02","103","116"
Cardio,2025-03-07 18:30:15,false,"Bristol Cardio","5.59","641","01:48:37","108","155","0.7","--","--","3.1","92.2","21","15","--","--","--","0.0","--","--","--","--","--","868","No","01:48:37","1","--","--","--","--","--","--","00:38:01","01:48:38","10","24"
Treadmill Running,2025-03-07 07:04:12,false,"Treadmill Running","3.63","412","00:25:00","175","189","3.7","127","179","6:54","3:45","--","--","1.14","--","391","0.0","326","611","--","--","--","3,292","No","00:02:57.4","3","--","--","--","--","--","--","00:17:10","00:25:00","--","--"
Cardio,2025-03-06 19:03:53,false,"Cardio","0.00","275","00:31:45","123","148","1.5","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","1,102","No","00:31:45","1","--","--","--","--","--","--","00:00:00","00:31:45","74","91"
Cardio,2025-03-06 06:41:14,false,"Cardio","0.00","431","00:54:09","120","164","1.6","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","636","No","00:54:09","1","--","--","--","--","--","--","00:00:00","00:54:09","90","97"
Cardio,2025-03-05 16:28:10,false,"Cardio","0.00","372","00:55:05","114","163","1.5","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","652","No","00:55:05","1","--","--","--","--","--","--","00:00:00","00:55:12","92","100"
Running,2025-03-05 06:24:27,false,"Bristol Running","4.69","382","00:22:24","176","194","3.8","161","168","4:46","4:14","35","35","1.30","4:49","503","0.0","493","713","--","--","--","3,624","No","00:07:01.4","3","--","--","--","--","--","--","00:22:21","00:22:24","74","91"
Cardio,2025-03-04 17:20:46,false,"Cardio","0.00","108","00:36:10","79","110","0.1","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","188","No","00:36:10","1","--","--","--","--","--","--","00:00:00","00:36:10","87","89"
Cardio,2025-03-04 06:30:49,false,"Cardio","0.00","516","01:04:00","122","157","2.0","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","916","No","01:04:00","1","--","--","--","--","--","--","00:00:00","01:04:00","91","106"
Cardio,2025-03-03 06:54:41,false,"Cardio","0.00","345","01:00:51","100","159","1.0","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","662","No","01:00:51","1","--","--","--","--","--","--","00:00:00","01:00:51","89","99"
Cardio,2025-03-02 16:05:47,false,"Cardio","0.00","158","00:52:22","80","132","0.1","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","134","No","00:52:22","1","--","--","--","--","--","--","00:00:00","00:52:22","35","39"
Running,2025-03-01 13:11:12,false,"Bristol Running","20.00","1,840","02:11:27","165","180","5.0","152","234","6:34","4:49","191","193","1.00","6:38","364","0.0","348","563","--","--","--","20,014","No","00:04:34.2","13","--","--","--","--","--","--","02:11:23","02:12:34","12","89"
Cardio,2025-02-28 07:15:12,false,"Cardio","0.00","276","00:34:32","119","149","1.3","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","818","No","00:34:32","1","--","--","--","--","--","--","00:00:00","00:34:32","8","14"
Treadmill Running,2025-02-28 06:54:11,false,"Treadmill Running","3.27","322","00:19:49","174","191","3.5","129","240","6:04","3:25","--","--","1.28","--","440","0.0","371","641","--","--","--","2,628","No","00:00:10.3","3","--","--","--","--","--","--","00:13:40","00:19:49","--","--"
Cardio,2025-02-27 06:41:55,false,"Cardio","0.00","466","01:00:55","117","160","2.0","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","814","No","01:00:55","1","--","--","--","--","--","--","00:00:00","01:00:55","4","17"
Cardio,2025-02-26 06:53:05,false,"Bristol Cardio","0.02","426","00:57:09","117","177","1.5","--","--","0.0","5.8","--","--","--","--","--","0.0","--","--","--","--","--","724","No","00:57:09","1","--","--","--","--","--","--","00:00:11","00:57:09","81","86"
Cardio,2025-02-25 18:42:43,false,"Bristol Cardio","2.89","351","01:07:56","98","151","0.4","--","--","2.5","38.2","4","13","--","--","--","0.0","--","--","--","--","--","594","No","01:07:56","1","--","--","--","--","--","--","00:17:14","01:07:56","13","26"
Running,2025-02-25 06:41:33,false,"Bristol Running","5.01","413","00:24:37","174","190","4.0","159","165","4:55","4:21","36","44","1.28","4:56","485","0.0","477","678","--","--","--","3,910","No","00:00:45.3","4","--","--","--","--","--","--","00:24:36","00:24:37","74","94"
Cardio,2025-02-24 20:13:43,false,"Bristol Cardio","0.01","442","00:55:16","125","176","2.1","--","--","0.0","28.5","31","36","--","--","--","0.0","--","--","--","--","--","--","No","00:55:16","1","--","--","--","--","--","--","00:00:17","00:55:16","86","95"
Treadmill Running,2025-02-23 09:30:57,false,"Treadmill Running","15.03","1,301","01:50:23","146","186","4.1","149","177","7:21","3:28","--","--","0.90","--","378","0.0","310","668","--","--","--","16,450","No","00:02:45.7","10","--","--","--","--","--","--","01:44:10","01:52:42","--","--"
Cardio,2025-02-21 18:14:57,false,"Bristol Cardio","3.79","709","01:50:48","113","174","1.9","--","--","2.1","37.7","20","37","--","--","--","0.0","--","--","--","--","--","972","No","01:50:48","1","--","--","--","--","--","--","00:31:42","01:50:48","9","28"
Treadmill Running,2025-02-21 07:07:25,false,"Treadmill Running","3.17","311","00:19:56","168","184","3.3","127","240","6:17","3:19","--","--","1.25","--","424","0.0","362","668","--","--","--","2,622","No","00:09:27.1","2","--","--","--","--","--","--","00:13:59","00:19:56","--","--"
Cardio,2025-02-20 07:17:48,false,"Cardio","0.00","488","01:09:27","115","158","1.8","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","768","No","01:09:27","1","--","--","--","--","--","--","00:00:00","01:09:27","99","106"
Running,2025-02-19 06:43:24,false,"Bristol Running","5.02","430","00:25:57","172","190","4.0","159","167","5:10","4:31","54","57","1.22","5:11","479","0.0","466","660","--","--","--","4,142","No","00:00:54.7","4","--","--","--","--","--","--","00:25:48","00:25:57","71","91"
Cardio,2025-02-18 06:49:39,false,"Bristol Cardio","0.00","455","01:05:28","114","167","1.4","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","808","No","01:05:28","1","--","--","--","--","--","--","00:00:00","01:05:28","84","92"
Cardio,2025-02-17 07:25:48,false,"Bristol Cardio","0.05","470","00:54:23","125","191","2.3","--","--","0.1","5.8","--","--","--","--","--","0.0","--","--","--","--","--","1,114","No","00:54:23","1","--","--","--","--","--","--","00:00:34","00:54:23","84","95"
Walking,2025-02-15 18:55:58,false,"Taghazout Walking","2.16","315","00:26:49","144","168","2.5","102","214","12:26","10:05","113","20","0.79","--","--","0.0","--","--","--","--","--","2,816","No","00:06:11.2","2","--","--","--","--","--","--","00:24:45","00:26:49","256","356"
Running,2025-02-15 18:30:01,false,"Taghazout Running","5.01","433","00:24:59","174","188","4.0","158","167","4:59","4:21","24","126","1.27","5:09","492","0.0","479","790","--","--","--","3,942","No","00:00:50.8","4","--","--","--","--","--","--","00:24:57","00:24:59","263","381"
Cardio,2025-02-15 08:03:51,false,"Taghazout Cardio","0.05","265","00:56:50","92","130","0.4","--","--","0.1","--","--","--","--","--","--","0.0","--","--","--","--","--","86","No","00:56:50","1","--","--","--","--","--","--","00:00:00","00:56:50","336","375"
Surfing,2025-02-14 13:00:00,false,"Surfing K12","0.00","1,071","02:30:00","140","180","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","No","02:30:00","1","3","--","--","--","--","--","--:--:--","02:30:00","--","--"
Surfing,2025-02-13 13:00:00,false,"Desert Point Surfing","0.00","788","02:30:00","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","No","02:30:00","1","--","--","--","--","--","--","--:--:--","02:30:00","--","--"
Yoga,2025-02-13 08:00:00,false,"Yoga","0.00","330","00:55:00","100","140","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","No","00:55:00","1","--","--","--","--","--","--","--:--:--","00:55:00","--","--"
Surfing,2025-02-12 12:30:28,false,"Tamri Surfing","3.70","1,425","02:14:41","146","186","4.0","--","--","1.6","92.7","--","--","--","--","--","0.0","--","--","--","--","--","--","No","02:14:41","1","6","61","33.0","2:55.6","0.23","18.1","00:15:27","02:14:41","--","--"
Cardio,2025-02-12 08:05:11,false,"Yoga","0.15","334","00:55:48","102","144","1.3","--","--","0.2","72.9","6","--","--","--","--","0.0","--","--","--","--","--","70","No","00:55:48","1","--","--","--","--","--","--","00:00:25","00:55:48","319","384"
Running,2025-02-11 09:35:18,false,"Taghazout Running","11.30","1,169","01:54:52","137","168","3.1","105","247","10:10","5:41","186","219","1.01","10:27","264","0.0","202","565","--","--","--","12,390","No","00:00:18.9","8","--","--","--","--","--","--","01:38:36","02:10:44","211","360"
Surfing,2025-02-10 12:00:00,false,"Desert Point Surfing","0.00","1,260","04:00:00","145","185","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","No","04:00:00","1","8","40","30.0","4:00:00","--","--","--:--:--","04:00:00","--","--"
Cardio,2025-02-08 13:27:58,false,"Bristol Cardio","0.00","312","00:45:12","118","164","2.0","--","--","--","5.1","18","21","--","--","--","0.0","--","--","--","--","--","--","No","00:45:12","1","--","--","--","--","--","--","00:00:04","00:45:12","86","91"
Running,2025-02-05 16:53:36,false,"Taunton Deane Running","3.65","306","00:18:47","170","190","3.5","158","169","5:09","4:26","29","31","1.23","5:10","489","0.0","479","643","--","--","--","2,666","No","00:01:57","3","--","--","--","--","--","--","00:18:47","00:18:48","43","58"
Treadmill Running,2025-01-31 12:51:04,false,"Treadmill Running","10.13","899","00:58:46","163","186","4.6","157","167","5:48","4:12","--","--","1.10","--","420","0.0","413","615","--","--","--","9,194","No","00:02:43.9","7","--","--","--","--","--","--","00:58:19","00:58:46","--","--"
Cardio,2025-01-29 14:32:58,false,"Cardio","0.00","375","00:50:12","116","147","1.2","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","674","No","00:50:12","1","--","--","--","--","--","--","00:00:00","00:50:12","66","75"
